time,jacobian_compute_time,number_dofs,number_linear_iterations,number_nonlinear_iterations,number_nonlinear_variables,physical_memory_use,residual_compute_time,simulation_alive_time,time_step_size,total_linear_iterations,total_nonlinear_iterations
4573847,20.063415451,253601,15,5,3,7746,99.414340838,257.799751473,1000000,754,299
5439408,20.408883512,253601,15,5,3,7746,101.312332131,262.319329534,865561,769,304
6439408,20.754932085,253601,17,5,3,7746,103.372100931,267.020533967,1000000,786,309
7439408,21.099926965,253601,15,5,3,7746,105.280222228,271.553089312,1000000,801,314
8144271,21.447725964,253601,13,5,3,7746,107.035091134,275.928131003,704863,814,319
9144271,21.862035921,253601,21,6,3,7746,109.497155009,281.494052806,1000000,835,325
10144271,22.206091777,253601,14,5,3,7746,111.322477803,285.93269919,1000000,849,330
10871826,22.550193945,253601,12,5,3,7746,112.994639829,290.20564649,727555,861,335
11871826,22.895178209,253601,16,5,3,7746,114.967382479,294.806200392,1000000,877,340
12871826,23.239342142,253601,14,5,3,7746,116.794655263,299.250221291,1000000,891,345
13629456,23.581736207,253601,11,5,3,7746,118.383870474,303.431622679,757630,902,350
14629456,23.855295021,253601,12,4,3,7748,119.906410288,307.110261353,1000000,914,354
15629456,24.130401834,253601,12,4,3,7748,121.437002411,310.799107502,1000000,926,358
16415442,24.402855221,253601,11,4,3,7748,122.894531092,314.408318516,785986,937,362
17415442,24.814053371,253601,15,6,3,7748,124.910099494,319.482482474,1000000,952,368
18415442,25.087844176,253601,12,4,3,7748,126.436570506,323.168939032,1000000,964,372
19230373,25.360842735,253601,11,4,3,7750,127.897599355,326.779207932,814931,975,376
20230373,25.634994144,253601,11,4,3,7750,129.360533495,330.395805855,1000000,986,380
21230373,25.908840902,253601,12,4,3,7750,130.892590363,334.081940392,1000000,998,384
22072371,26.251710051,253601,15,5,3,7750,132.76698753,338.57935758,841998,1013,389
23072371,26.52534931,253601,12,4,3,7750,134.288613842,342.259063959,1000000,1025,393
24072371,26.936426445,253601,18,6,3,7752,136.514172376,347.568831142,1000000,1043,399
24936904,27.210763617,253601,11,4,3,7752,137.974462562,351.179982258,864533,1054,403
25936904,27.484237165,253601,11,4,3,7752,139.428454336,354.789570257,1000000,1065,407
26936904,27.757720919,253601,11,4,3,7752,140.887299026,358.400818923,1000000,1076,411
27816661,28.031400913,253601,11,4,3,7752,142.339820005,362.00890557,879757,1087,415
28816661,28.306043863,253601,11,4,3,7752,143.801549009,365.621770594,1000000,1098,419
29816661,28.580703615,253601,11,4,3,7754,145.264961844,369.244275606,1000000,1109,423
30706657,28.855168951,253601,11,4,3,7754,146.725527788,372.860891063,889996,1120,427
31706657,29.197401294,253601,16,5,3,7756,148.670726482,377.440429582,1000000,1136,432
32706657,29.540618146,253601,16,5,3,7756,150.62157058,382.020010174,1000000,1152,437
33604381,29.881991367,253601,16,5,3,7756,152.565216369,386.595540533,897724,1168,442
