time,jacobian_compute_time,number_dofs,number_linear_iterations,number_nonlinear_iterations,number_nonlinear_variables,physical_memory_use,residual_compute_time,simulation_alive_time,time_step_size,total_linear_iterations,total_nonlinear_iterations
157911358,346.229272209,253601,20,6,3,8087,1677.208716478,4127.400320503,819089,7598,2572
158911358,348.489143618,253601,78,32,3,8087,1687.220480275,4153.165848715,1000000,7676,2604
159911358,348.841615769,253601,17,5,3,8089,1689.233250166,4157.916685363,1000000,7693,2609
160722797,349.194025905,253601,15,5,3,8089,1691.112212361,4162.521371711,811439,7708,2614
161722797,349.617244498,253601,18,6,3,8089,1693.332902267,4167.962164262,1000000,7726,2620
162722797,350.041006871,253601,21,6,3,8089,1695.768397277,4173.632265636,1000000,7747,2626
163519059,350.465202882,253601,19,6,3,8089,1698.062069772,4179.146492525,796262,7766,2632
164519059,352.516917484,253601,68,29,3,8089,1706.984422206,4202.370746509,1000000,7834,2661
165519059,352.941041652,253601,21,6,3,8089,1709.4234511,4208.047104534,1000000,7855,2667
166304046,353.365843193,253601,21,6,3,8091,1711.86422059,4213.720230655,784987,7876,2673
167304046,353.790343015,253601,20,6,3,8091,1714.243048387,4219.330102822,1000000,7896,2679
168304046,354.214667984,253601,20,6,3,8091,1716.618673581,4224.932610348,1000000,7916,2685
169077849,354.637003745,253601,20,6,3,8091,1718.989173608,4230.530540881,773803,7936,2691
170077849,355.700065174,253601,39,15,3,8091,1723.953707289,4243.066931215,1000000,7975,2706
171077849,356.690688127,253601,37,14,3,8095,1728.64602273,4254.849944894,1000000,8012,2720
171833208,357.115276191,253601,20,6,3,8095,1731.020658711,4260.450972759,755359,8032,2726
172833208,357.540085335,253601,19,6,3,8095,1733.328764267,4265.989271393,1000000,8051,2732
173833208,357.963682518,253601,21,6,3,8095,1735.773121999,4271.671523257,1000000,8072,2738
174573989,358.386887678,253601,19,6,3,8095,1738.072332757,4277.197961987,740781,8091,2744
175573989,360.945107004,253601,83,36,3,8095,1749.083134427,4305.94811369,1000000,8174,2780
176573989,361.369293711,253601,20,6,3,8095,1751.462280774,4311.561725385,1000000,8194,2786
177296762,361.795303223,253601,20,6,3,8101,1753.850623938,4317.182690153,722773,8214,2792
177922434,362.22120282,253601,18,6,3,8102,1756.095154404,4322.655163711,625672,8232,2798
177922794,363.443846231,253601,51,19,3,8102,1761.594868481,4337.229975346,360,8283,2817
