id,oxide_thickness,x,y,z
0,7.9567814343852e-06,0.004757,0.00478,0
0.089268292682927,8.2344214276833e-06,0.004757,0.094048292682927,0
0.17853658536585,8.5353080936637e-06,0.004757,0.18331658536585,0
0.26780487804878,8.8359127842255e-06,0.004757,0.27258487804878,0
0.35707317073171,9.2360020955534e-06,0.004757,0.36185317073171,0
0.44634146341463,9.4283581734553e-06,0.004757,0.45112146341463,0
0.53560975609756,9.6474833771186e-06,0.004757,0.54038975609756,0
0.62487804878049,9.8580831547848e-06,0.004757,0.62965804878049,0
0.71414634146341,1.0082286225761e-05,0.004757,0.71892634146341,0
0.80341463414634,1.0257225596064e-05,0.004757,0.80819463414634,0
0.89268292682927,1.0519049538653e-05,0.004757,0.89746292682927,0
0.9819512195122,1.0697084115494e-05,0.004757,0.9867312195122,0
1.0712195121951,1.0861579214967e-05,0.004757,1.0759995121951,0
1.160487804878,1.1084867964148e-05,0.004757,1.165267804878,0
1.249756097561,1.1356139861706e-05,0.004757,1.254536097561,0
1.3390243902439,1.1540482616109e-05,0.004757,1.3438043902439,0
1.4282926829268,1.1809762296401e-05,0.004757,1.4330726829268,0
1.5175609756098,1.196779393262e-05,0.004757,1.5223409756098,0
1.6068292682927,1.2355080812342e-05,0.004757,1.6116092682927,0
1.6960975609756,1.2595551208016e-05,0.004757,1.7008775609756,0
1.7853658536585,1.2796824336797e-05,0.004757,1.7901458536585,0
1.8746341463415,1.3214692040781e-05,0.004757,1.8794141463415,0
1.9639024390244,1.3368725345151e-05,0.004757,1.9686824390244,0
2.0531707317073,1.3806359275381e-05,0.004757,2.0579507317073,0
2.1424390243902,1.3954175904957e-05,0.004757,2.1472190243902,0
2.2317073170732,1.4410958772335e-05,0.004757,2.2364873170732,0
2.3209756097561,1.4699183454135e-05,0.004757,2.3257556097561,0
2.410243902439,1.5089510667169e-05,0.004757,2.415023902439,0
2.499512195122,1.5442337386849e-05,0.004757,2.504292195122,0
2.5887804878049,1.5828783655534e-05,0.004757,2.5935604878049,0
2.6780487804878,1.6121300300619e-05,0.004757,2.6828287804878,0
2.7673170731707,1.6484337798387e-05,0.004757,2.7720970731707,0
2.8565853658537,1.6770509051205e-05,0.004757,2.8613653658537,0
2.9458536585366,1.7098640698789e-05,0.004757,2.9506336585366,0
3.0351219512195,1.7239501359603e-05,0.004757,3.0399019512195,0
3.1243902439024,1.7372805275715e-05,0.004757,3.1291702439024,0
3.2136585365854,1.7469896372266e-05,0.004757,3.2184385365854,0
3.3029268292683,1.7516112031831e-05,0.004757,3.3077068292683,0
3.3921951219512,1.7000834817994e-05,0.004757,3.3969751219512,0
3.4814634146341,1.6194228037698e-05,0.004757,3.4862434146341,0
3.5707317073171,1.5169704318844e-05,0.004757,3.5755117073171,0
3.66,1.4425069645098e-05,0.004757,3.66478,0
