time,average_burnup,average_centerline_fuel_temperature,average_fission_rate,average_interior_clad_temperature,clad_inner_vol,disp_y_3023,fission_gas_generated,fission_gas_released,fission_gas_released_percentage,flux_from_clad,flux_from_fuel,initial_moles,maximum_clad_elongation,maximum_fuel_elongation,pellet_volume,plenum_pressure,plenum_temperature,plenum_volume,rod_ave_lin_pow
0,0,545.86668737008,0,557.0254886763,0.00021797024978522,0.0035792873618405,0,0,0,1482.5950271278,-1474.6031126698,0.02702175888503,0.0035792873618405,0.0093314366911384,-0.0001947673922849,5366160.775693,554.19914058079,2.3202857500322e-05,0
200,1.5094145777997e-10,559.53495972952,3.5002924138814e+16,558.17571680878,0.00021797587403275,0.0035982355764258,3.3895149773944e-10,0,0,-185.7325393773,184.73302954953,0.02702175888503,0.0035982355764258,0.0097310888378812,-0.00019483103536699,5421588.4633188,558.52343587419,2.3144838665768e-05,216.49754531117
600,1.3584731200197e-09,563.38002209366,1.0500877226029e+17,558.57806702811,0.00021797754163627,0.0036051150241946,3.0505634766307e-09,0,0,-646.8044404988,643.40436951265,0.02702175888503,0.0036051150241946,0.0098423790934196,-0.00019484876108195,5437621.660847,559.78649552658,2.3128780554317e-05,649.49263496768
1400,7.3961314312184e-09,570.61745927657,2.4502046642192e+17,559.35205418961,0.00021798078616067,0.0036183728827128,1.6608623281396e-08,0,0,-1515.3330458287,1507.2804039379,0.02702175888503,0.0036183728827128,0.010051738215553,-0.00019488210985662,5467855.5142872,562.16631297699,2.3098676304046e-05,1515.4828014075
3000,3.3961828000493e-08,585.12764190722,5.2504383476647e+17,560.89840393764,0.00021798731788353,0.00364487035603,7.6264084569911e-08,0,0,-3251.782210153,3234.1361328198,0.02702175888503,0.00364487035603,0.010468613105916,-0.00019494852554905,5527903.2318348,566.86655802871,2.3038792334486e-05,3247.4630107163
3600,4.8905032320709e-08,590.58340630145,6.3005258065871e+17,561.47779249848,0.00021798982659893,0.0036547990635901,1.098202804885e-07,0,0,-3902.9224692077,3881.5768245107,0.02702175888503,0.0036547990635901,0.010624380693995,-0.00019497334615209,5550276.7591665,568.60967954316,2.3016480446841e-05,3896.9554825942
5200,1.0203642545926e-07,605.17223739574,9.1007585247935e+17,563.02142183977,0.00021799642612698,0.0036812552828618,2.2913118995492e-07,0,0,-5639.1770248898,5607.6856292753,0.02702175888503,0.0036812552828618,0.011038333210601,-0.00019503931752296,5609625.19835,573.20732120365,2.2957108604018e-05,5628.9350948903
7200,1.9562012928284e-07,623.49601379256,1.2601047831172e+18,564.94934239068,0.00021800464922376,0.0037142939855941,4.3928105454435e-07,0,0,-7811.6494027361,7764.5453326027,0.02702175888503,0.0037142939855941,0.011553073215589,-0.0001951213732085,5683175.8041666,578.85526063283,2.288327601526e-05,7793.908625972
8800,2.9222266226202e-07,638.22882990282,1.5401277387712e+18,566.48850831232,0.00021801123250332,0.0037406738566844,6.5620990392817e-07,0,0,-9548.1151645857,9489.4004946348,0.02702175888503,0.0037406738566844,0.01196285339543,-0.00019518671374513,5741516.1747044,583.29589061422,2.2824518758187e-05,9525.8862827373
10800,4.4014529088639e-07,656.74251792758,1.8901561525388e+18,568.40938217812,0.0002180194115342,0.0037735960627089,9.8838211274707e-07,0,0,-11718.492461203,11644.650690198,0.02702175888503,0.0037735960627089,0.012472773286881,-0.00019526804272942,5813873.3512856,588.75389341542,2.2751368804772e-05,11690.85661691
12400,5.802190539552e-07,671.63553878368,2.1701812059582e+18,569.94358905863,0.00021802594490461,0.003799890784721,1.3029289599835e-06,0,0,-13454.655371947,13368.206629561,0.02702175888503,0.003799890784721,0.01287901478861,-0.00019533285221527,5871323.4677853,593.04874233277,2.2693092689341e-05,13422.847248621
14400,7.8248097401693e-07,689.41216486616,2.5202121202911e+18,571.85818283394,0.00021803516473831,0.0038344577701391,1.7571241113984e-06,0,0,-15624.672406578,15522.2659222,0.02702175888503,0.0038344577701391,0.013351499172018,-0.00019552187334201,5966840.4742737,597.92142323728,2.25132913963e-05,15587.83304911
16000,9.6602619279789e-07,703.72923399898,2.8002338372701e+18,573.38714428943,0.00021804237298537,0.0038618205858865,2.1692892479579e-06,0,0,-17360.31233091,17244.6173884,0.02702175888503,0.0038618205858865,0.013728553514253,-0.00019565698491921,6039478.0914556,601.76196254105,2.2385388066165e-05,17319.803044512
18000,1.2226271786745e-06,721.9314026946,3.1502604594546e+18,575.29505415547,0.00021805099726194,0.0038954276467053,2.7455065223108e-06,0,0,-19529.659361161,19396.617658195,0.02702175888503,0.0038954276467053,0.014205201376449,-0.00019579213104614,6122344.1281208,606.5707597076,2.2258866215803e-05,19484.762297516
19600,1.4496435372961e-06,736.59672617404,3.4302812540426e+18,576.82232160412,0.00021805781093062,0.0039221884250653,3.25528895326e-06,0,0,-21271.45236253,21117.570189918,0.02702175888503,0.0039221884250653,0.014585800480994,-0.00019589217638134,6186566.979248,610.36634991084,2.2165634549289e-05,21216.726587812
21600,1.7605834479734e-06,755.02597581733,3.7803066016853e+18,578.72384068951,0.00021806620476009,0.0039554270211016,3.9535276328595e-06,0,0,-23440.991809544,23267.900652815,0.02702175888503,0.0039554270211016,0.015059578383736,-0.00019601082735252,6264984.5536034,615.02843183412,2.2055377407568e-05,23381.677957613
23200,2.0310709464356e-06,769.82914653663,4.0603262719544e+18,580.24235553029,0.00021807288335081,0.0039819458002258,4.5609270021707e-06,0,0,-25176.530029614,24987.475525354,0.02702175888503,0.0039819458002258,0.015436380958387,-0.00019610382884352,6327022.8654152,618.68767587361,2.1969054507285e-05,25113.635293854
25200,2.3963497819138e-06,788.41155039268,4.4103500927048e+18,582.13698895389,0.00021808116382303,0.0040150017379246,5.3811865979921e-06,0,0,-27345.706258418,27136.052472688,0.02702175888503,0.0040150017379246,0.015904766937037,-0.00019621770143383,6403709.9343194,623.17681338277,2.1863462389202e-05,27278.57721963
26800,2.7103084202167e-06,803.3319349588,4.6903684368326e+18,583.64989514852,0.00021808776362096,0.0040413948634393,6.0862024792616e-06,0,0,-29080.917070215,28854.206569394,0.02702175888503,0.0040413948634393,0.016277099600002,-0.00019630816540173,6464687.9528532,626.69773497171,2.1779598219227e-05,29010.526353518
28800,3.1299261804956e-06,822.05839743562,5.0403904784832e+18,585.53744389293,0.00021809595380124,0.0040743062264523,7.0284824143343e-06,0,0,-31249.724059421,31000.98699522,0.02702175888503,0.0040743062264523,0.016739843937626,-0.00019641969891334,6540264.4057082,631.0158236267,2.1676254887903e-05,31175.457275336
30400,3.4873559586391e-06,837.09732109685,5.3204072947724e+18,587.04458195425,0.00021810247918532,0.004100581505018,7.8311143108223e-06,0,0,-32984.613211561,32717.686522316,0.02702175888503,0.004100581505018,0.017107801137161,-0.00019650828019844,6600363.2728705,634.40359118557,2.1594198986885e-05,32907.396959348
32400,3.9613126437188e-06,855.96663389546,5.6704273052836e+18,588.92483103833,0.00021811058788564,0.0041333640419354,8.895413920284e-06,0,0,-35153.034029254,34862.635348397,0.02702175888503,0.0041333640419354,0.01756490038511,-0.00019661854222534,6675139.2354025,638.55568871205,2.1492045660306e-05,35072.315318309
34000,4.3622136519519e-06,871.11929161876,5.9504450082174e+18,590.42607674832,0.0002181170509733,0.0041595424634003,9.7956614676212e-06,0,0,-36887.672486829,36577.871462105,0.02702175888503,0.0041595424634003,0.017928318212267,-0.00019670647207714,6734713.424039,641.8125793103,2.1410578896164e-05,36804.260486331
36000,4.890509628469e-06,890.13610372581,6.3004660057757e+18,592.29882098541,0.00021812507605616,0.0041921952122967,1.0981980822084e-05,0,0,-39055.722258723,38720.973734353,0.02702175888503,0.0041921952122967,0.018379911615573,-0.00019681558434486,6808764.6283791,645.80604637332,2.1309491711297e-05,38969.184950305
37600,5.3348820924143e-06,905.40644298859,6.5804791618787e+18,593.79394763804,0.00021813147271452,0.004218271714929,1.1979843889652e-05,0,0,-40790.028851578,40434.691708011,0.02702175888503,0.004218271714929,0.018738879071789,-0.00019690277974423,6867826.162984,648.93805749934,2.1228692970284e-05,40701.101995598
39600,5.9175171347463e-06,924.57592758693,6.9304943547653e+18,595.65898342183,0.00021813940749964,0.0042507872520339,1.3288181642013e-05,0,0,-42957.780090359,42575.884134095,0.02702175888503,0.0042507872520339,0.019185011620605,-0.00019701056878336,6941140.2658299,652.78045606482,2.1128838716282e-05,42865.990556938
41200,6.4053607385321e-06,939.96747610172,7.2105053788783e+18,597.14780999748,0.00021814573310843,0.0042767570888145,1.4383658813061e-05,0,0,-44691.764913534,44288.087484249,0.02702175888503,0.0042767570888145,0.019539457852639,-0.00019709695483405,6999698.0586785,655.7931780536,2.1048778274373e-05,44597.894415602
43200,7.0423347056649e-06,959.28870038191,7.5605177857507e+18,599.01924696121,0.00021815362908997,0.0043093349747141,1.5814013718537e-05,0,0,-46885.269884444,46427.375737914,0.02702175888503,0.0043093349747141,0.019979946885186,-0.00019720444235281,7072703.9232527,659.49778426443,2.0949186737168e-05,46762.765745089
44800,7.5736494492914e-06,974.80450415575,7.8405264768691e+18,600.50204595732,0.00021815987747387,0.00433519540644,1.7007104215517e-05,0,0,-48619.818047205,48138.037136405,0.02702175888503,0.00433519540644,0.020330199089354,-0.0001972897898172,7130721.0142088,662.39708575575,2.0870087656666e-05,48494.655173884
46800,8.2649623412249e-06,994.27370143457,8.1905358465988e+18,602.35133939894,0.00021816763142266,0.0043674516756991,1.8559475258389e-05,0,0,-50787.739888767,50275.382060852,0.02702175888503,0.0043674516756991,0.020765453255604,-0.0001973961159571,7202997.4513976,665.95079103124,2.0771515465557e-05,50659.507718257
48400,8.8397482246921e-06,1009.9050937193,8.4705420039393e+18,603.82738324212,0.00021817380751068,0.004393209749254,1.9850178233717e-05,0,0,-52521.904557239,51984.475399478,0.02702175888503,0.004393209749254,0.021111542165634,-0.00019748127720562,7260742.2704399,668.73694333943,2.0692530305055e-05,52391.381475313
