0.045,0.5298,0.5563,0.7561,0.8876,1.4050,1.5457,1.6134,1.6320,1.6039,1.5224,1.5878,1.5781,1.5482,1.5151,1.4792,1.4273,1.3275,1.3684,1.3413,1.2958,1.2442,1.1839,1.1029,0.9894,0.9848,0.9294,0.8765,0.8303,0.8305,0.8162,0.7953,0.7480,0.7866,0.7941,0.7911,0.7741,0.7957,0.8036,0.7987,0.7586,0.8057,0.8190,0.8173,0.7970,0.8152,0.8105,0.7816,0.7115,0.7247,0.6725,0.4312,0.3682,0.2909
0.050,0.5125,0.5382,0.7316,0.8591,1.3605,1.4979,1.5654,1.5857,1.5608,1.4833,1.5497,1.5446,1.5206,1.4943,1.4663,1.4233,1.3306,1.3798,1.3649,1.3337,1.2991,1.2598,1.2026,1.1044,1.1226,1.0735,0.9984,0.9231,0.9009,0.8625,0.8235,0.7645,0.7951,0.7931,0.7821,0.7602,0.7768,0.7794,0.7704,0.7289,0.7716,0.7814,0.7773,0.7565,0.7723,0.7664,0.7378,0.6710,0.6830,0.6331,0.4057,0.3463,0.2735
0.055,0.4903,0.5150,0.7002,0.8223,1.3029,1.4356,1.5016,1.5231,1.5011,1.4279,1.4941,1.4927,1.4737,1.4532,1.4318,1.3965,1.3109,1.3655,1.3602,1.3400,1.3180,1.2935,1.2530,1.1666,1.2049,1.1827,1.1338,1.0687,1.0489,0.9863,0.9110,0.8252,0.8415,0.8224,0.7979,0.7676,0.7774,0.7723,0.7571,0.7125,0.7507,0.7562,0.7488,0.7267,0.7400,0.7323,0.7034,0.6388,0.6495,0.6013,0.3849,0.3283,0.2591
0.060,0.4640,0.4874,0.6627,0.7785,1.2339,1.3605,1.4244,1.4466,1.4275,1.3591,1.4241,1.4260,1.4116,1.3964,1.3809,1.3526,1.2742,1.3325,1.3350,1.3239,1.3120,1.2988,1.2710,1.1936,1.2447,1.2396,1.2103,1.1616,1.1629,1.1273,1.0641,0.9637,0.9657,0.9127,0.8594,0.8120,0.8103,0.7924,0.7669,0.7156,0.7486,0.7481,0.7360,0.7111,0.7215,0.7111,0.6808,0.6170,0.6264,0.5788,0.3699,0.3153,0.2486
0.065,0.4340,0.4559,0.6201,0.7286,1.1552,1.2747,1.3357,1.3581,1.3417,1.2786,1.3416,1.3461,1.3359,1.3254,1.3152,1.2933,1.2223,1.2827,1.2916,1.2883,1.2849,1.2812,1.2638,1.1948,1.2547,1.2622,1.2469,1.2091,1.2251,1.2108,1.1709,1.0857,1.1142,1.0768,1.0099,0.9338,0.9074,0.8613,0.8152,0.7502,0.7756,0.7656,0.7456,0.7158,0.7223,0.7076,0.6743,0.6092,0.6172,0.5686,0.3626,0.3086,0.2430
0.070,0.4014,0.4217,0.5736,0.6741,1.0693,1.1806,1.2383,1.2606,1.2468,1.1892,1.2494,1.2563,1.2499,1.2437,1.2383,1.2223,1.1587,1.2200,1.2344,1.2377,1.2417,1.2460,1.2376,1.1766,1.2426,1.2601,1.2559,1.2269,1.2535,1.2540,1.2300,1.1553,1.2040,1.1926,1.1528,1.0928,1.0788,1.0193,0.9376,0.8417,0.8525,0.8241,0.7898,0.7507,0.7513,0.7297,0.6905,0.6211,0.6273,0.5757,0.3659,0.3109,0.2443
0.075,0.3665,0.3851,0.5238,0.6158,0.9772,1.0797,1.1335,1.1554,1.1442,1.0923,1.1493,1.1581,1.1552,1.1529,1.1518,1.1413,1.0853,1.1466,1.1656,1.1748,1.1853,1.1966,1.1962,1.1431,1.2136,1.2394,1.2448,1.2235,1.2584,1.2709,1.2598,1.1938,1.2568,1.2636,1.2437,1.1993,1.2072,1.1773,1.1170,1.0137,1.0183,0.9564,0.8910,0.8328,0.8228,0.7885,0.7386,0.6602,0.6640,0.6059,0.3835,0.3250,0.2547
0.080,0.3279,0.3446,0.4689,0.5513,0.8754,0.9680,1.0174,1.0384,1.0297,0.9841,1.0370,1.0475,1.0478,1.0491,1.0521,1.0469,0.9989,1.0590,1.0821,1.0967,1.1130,1.1307,1.1379,1.0931,1.1664,1.1997,1.2138,1.2002,1.2421,1.2654,1.2661,1.2091,1.2835,1.3059,1.3029,1.2709,1.2963,1.2905,1.2557,1.1677,1.2056,1.1720,1.1036,1.0186,0.9835,0.9175,0.8433,0.7456,0.7444,0.6732,0.4231,0.3572,0.2787
0.085,0.2832,0.2977,0.4052,0.4766,0.7571,0.8382,0.8821,0.9020,0.8960,0.8574,0.9052,0.9172,0.9209,0.9259,0.9329,0.9331,0.8941,0.9520,0.9788,0.9987,1.0207,1.0447,1.0596,1.0240,1.0992,1.1395,1.1625,1.1569,1.2055,1.2395,1.2523,1.2052,1.2900,1.3275,1.3408,1.3212,1.3625,1.3783,1.3660,1.2906,1.3577,1.3585,1.3257,1.2636,1.2546,1.1880,1.0782,0.9354,0.9199,0.8170,0.5068,0.4248,0.3290
0.090,0.2340,0.2460,0.3349,0.3941,0.6267,0.6949,0.7327,0.7511,0.7480,0.7170,0.7591,0.7725,0.7794,0.7881,0.7991,0.8049,0.7754,0.8304,0.8607,0.8857,0.9133,0.9435,0.9662,0.9406,1.0168,1.0640,1.0959,1.0988,1.1537,1.1984,1.2236,1.1874,1.2821,1.3345,1.3643,1.3574,1.4144,1.4511,1.4603,1.3975,1.4909,1.5219,1.5196,1.4784,1.5027,1.4763,1.3964,1.2448,1.2372,1.0933,0.6664,0.5518,0.4220
