0,24.9966
0.005,25.6096
0.010,26.3111
0.015,27.9698
0.020,30.2320
0.025,32.9690
0.030,36.2316
0.035,39.6881
0.040,43.7948
0.045,48.3731
0.050,53.5531
0.055,59.4918
0.060,66.7781
0.065,75.8237
0.070,87.3209
0.075,102.3745
0.080,123.2036
0.085,155.9033
0.090,213.2574
0.095,315.7796
0.100,490.6590
0.105,763.2134
0.110,1142.9598
0.115,1672.0301
0.120,2408.3018
0.125,3432.0326
0.130,4853.9117
0.135,6825.3674
0.140,9552.3209
0.145,13311.7587
0.150,18469.7457
0.155,25498.8631
0.160,34989.5039
0.165,47639.3642
0.170,64202.3167
0.175,85365.5058
0.180,111519.3694
0.185,142409.1425
0.190,176714.6454
0.195,211697.0962
0.200,243086.7893
0.205,265851.1598
0.210,275726.6051
0.215,270940.1383
0.220,252928.7606
0.225,225613.0558
0.230,193801.9710
0.235,161773.3249
0.240,132451.4570
0.245,107348.9867
0.250,86883.0679
0.255,70792.6000
0.260,58469.5586
0.265,49204.6498
0.270,42321.6841
0.275,37237.1576
0.280,33480.8239
0.285,30687.5512
0.290,28584.0670
0.295,26968.6335
0.300,25696.7451
0.305,24666.9831
0.310,23808.1958
0.315,23071.7782
0.320,22424.0188
0.325,21842.5525
0.330,21312.2657
0.335,20822.9693
0.340,20367.4930
0.345,19940.4966
0.350,19538.2375
0.355,19158.2082
0.360,18798.4181
0.365,18456.8532
0.370,18132.1683
0.375,17823.0627
0.380,17528.3182
0.390,17096.3824
0.400,16621.5854
0.410,16158.9714
0.420,15725.0466
0.430,15322.3960
0.440,14948.8355
0.450,14602.1145
0.460,14279.2808
0.470,13978.1826
0.480,13696.5801
0.490,13432.6768
0.500,13184.7637
0.510,12951.6492
0.520,12731.9983
0.530,12524.7063
0.540,12329.0620
0.550,12143.9553
0.560,11968.5461
0.570,11802.1683
0.580,11644.3100
0.590,11494.2514
0.620,10740.8094
0.650,9604.3301
0.680,8821.1035
0.710,7949.4664
0.740,7380.9287
0.770,6726.6414
0.800,6210.4696
0.830,5750.5970
0.860,5320.9023
0.890,4905.9826
0.920,4626.9804
0.950,4317.4864
0.980,4069.0020
1.010,3803.3828
1.040,3572.5929
1.070,3385.3006
1.100,3196.1938
1.130,3022.7407
1.160,2885.8891
1.190,2718.3423
1.220,2614.5990
1.250,2482.0265
1.280,2359.6825
1.310,2271.1482
1.340,2166.2621
1.370,2075.5534
1.400,2000.0160
1.430,1910.2132
1.460,1849.2237
1.490,1775.3406
1.520,1704.7352
1.550,1655.7102
1.580,1591.2965
1.610,1541.9102
1.640,1489.2146
1.670,1438.6776
1.700,1398.0359
1.730,1350.2490
1.760,1301.1636
1.790,1267.9758
1.820,1220.0245
1.850,1186.4098
1.880,1148.4363
1.910,1111.6859
1.940,1082.3971
1.970,1046.1937
2.000,1014.3380
2.030,985.7705
2.060,953.0820
2.090,929.2090
2.120,897.3127
2.150,874.7945
2.180,849.1940
2.210,823.6656
2.240,798.8979
2.270,779.7200
2.300,752.9891
2.330,735.5941
2.360,711.1743
2.390,693.3621
2.420,674.4206
2.450,654.3581
2.480,637.1943
2.510,621.0238
2.540,601.8752
2.570,588.3533
2.600,569.9780
2.630,556.1276
2.660,542.1277
2.690,526.7006
2.720,514.7842
2.750,499.2094
2.780,487.7330
2.810,476.6780
2.840,463.1840
2.870,454.0581
2.900,442.8447
2.930,431.5278
2.960,423.0560
2.990,413.8355
