68400,0.3186,0.3186,0.4761,0.6266,0.7462,0.8622,0.983,1.0771,1.1325,1.1665,1.196,1.2188,1.2297,1.2327,1.2287,1.2136,1.1896,1.1585,1.1042,1.0066,0.8775,0.7534,0.6265,0.4692,0.3045,0.3045
72000,0.3186,0.3186,0.4761,0.6266,0.7462,0.8622,0.983,1.0771,1.1325,1.1665,1.196,1.2188,1.2297,1.2327,1.2287,1.2136,1.1896,1.1585,1.1042,1.0066,0.8775,0.7534,0.6265,0.4692,0.3045,0.3045
75600,0.3186,0.3186,0.4761,0.6266,0.7462,0.8622,0.983,1.0771,1.1325,1.1665,1.196,1.2188,1.2297,1.2327,1.2287,1.2136,1.1896,1.1585,1.1042,1.0066,0.8775,0.7534,0.6265,0.4692,0.3045,0.3045
79200,0.3186,0.3186,0.4761,0.6266,0.7462,0.8622,0.983,1.0771,1.1325,1.1665,1.196,1.2188,1.2297,1.2327,1.2287,1.2136,1.1896,1.1585,1.1042,1.0066,0.8775,0.7534,0.6265,0.4692,0.3045,0.3045
82800,0.3186,0.3186,0.4761,0.6266,0.7462,0.8622,0.983,1.0771,1.1325,1.1665,1.196,1.2188,1.2297,1.2327,1.2287,1.2136,1.1896,1.1585,1.1042,1.0066,0.8775,0.7534,0.6265,0.4692,0.3045,0.3045
86400,0.3186,0.3186,0.4761,0.6266,0.7462,0.8622,0.983,1.0771,1.1325,1.1665,1.196,1.2188,1.2297,1.2327,1.2287,1.2136,1.1896,1.1585,1.1042,1.0066,0.8775,0.7534,0.6265,0.4692,0.3045,0.3045
86760,0.3378,0.3378,0.5012,0.6556,0.776,0.8896,1.0032,1.0864,1.1323,1.1588,1.1809,1.1975,1.2052,1.2071,1.204,1.1925,1.1736,1.1485,1.1023,1.0144,0.8924,0.7713,0.6448,0.4854,0.3169,0.3169
1417786,0.3378,0.3378,0.5012,0.6556,0.776,0.8896,1.0032,1.0864,1.1323,1.1588,1.1809,1.1975,1.2052,1.2071,1.204,1.1925,1.1736,1.1485,1.1023,1.0144,0.8924,0.7713,0.6448,0.4854,0.3169,0.3169
1418146,0.3459,0.3459,0.5121,0.6684,0.7892,0.9022,1.0135,1.0929,1.1354,1.1592,1.1785,1.1923,1.1982,1.199,1.1952,1.1835,1.1653,1.1412,1.0968,1.0116,0.8923,0.7726,0.647,0.4881,0.3191,0.3191
2754647,0.3459,0.3459,0.5121,0.6684,0.7892,0.9022,1.0135,1.0929,1.1354,1.1592,1.1785,1.1923,1.1982,1.199,1.1952,1.1835,1.1653,1.1412,1.0968,1.0116,0.8923,0.7726,0.647,0.4881,0.3191,0.3191
2755007,0.3671,0.3671,0.5412,0.7026,0.825,0.9361,1.0403,1.1085,1.1408,1.1566,1.1677,1.174,1.1754,1.1738,1.1692,1.159,1.1443,1.1245,1.087,1.0109,0.8987,0.7827,0.6584,0.4986,0.3272,0.3272
5439408,0.3671,0.3671,0.5412,0.7026,0.825,0.9361,1.0403,1.1085,1.1408,1.1566,1.1677,1.174,1.1754,1.1738,1.1692,1.159,1.1443,1.1245,1.087,1.0109,0.8987,0.7827,0.6584,0.4986,0.3272,0.3272
5439768,0.3915,0.3915,0.5739,0.7402,0.863,0.9703,1.0643,1.119,1.1403,1.1483,1.1519,1.1519,1.1498,1.1469,1.1422,1.1345,1.1239,1.1095,1.08,1.0148,0.9116,0.7999,0.6769,0.5154,0.3397,0.3397
8144271,0.3915,0.3915,0.5739,0.7402,0.863,0.9703,1.0643,1.119,1.1403,1.1483,1.1519,1.1519,1.1498,1.1469,1.1422,1.1345,1.1239,1.1095,1.08,1.0148,0.9116,0.7999,0.6769,0.5154,0.3397,0.3397
8144631,0.4145,0.4145,0.6037,0.773,0.8946,0.9967,1.0804,1.1229,1.1353,1.1373,1.1357,1.1317,1.1277,1.1242,1.1203,1.1151,1.1083,1.0985,1.0761,1.0209,0.9266,0.8194,0.6977,0.5347,0.3541,0.3541
10871826,0.4145,0.4145,0.6037,0.773,0.8946,0.9967,1.0804,1.1229,1.1353,1.1373,1.1357,1.1317,1.1277,1.1242,1.1203,1.1151,1.1083,1.0985,1.0761,1.0209,0.9266,0.8194,0.6977,0.5347,0.3541,0.3541
10872186,0.4366,0.4366,0.6316,0.8026,0.9221,1.0184,1.092,1.124,1.1294,1.1271,1.1218,1.1151,1.1098,1.106,1.1024,1.0988,1.0947,1.0884,1.0718,1.0254,0.9394,0.837,0.7172,0.5531,0.3684,0.3684
13629456,0.4366,0.4366,0.6316,0.8026,0.9221,1.0184,1.092,1.124,1.1294,1.1271,1.1218,1.1151,1.1098,1.106,1.1024,1.0988,1.0947,1.0884,1.0718,1.0254,0.9394,0.837,0.7172,0.5531,0.3684,0.3684
13629816,0.4562,0.4562,0.6555,0.8269,0.9437,1.0346,1.0996,1.1237,1.1241,1.1188,1.111,1.1025,1.0962,1.092,1.0885,1.0858,1.0834,1.0795,1.0673,1.028,0.9495,0.8519,0.7343,0.5697,0.3817,0.3817
16415442,0.4562,0.4562,0.6555,0.8269,0.9437,1.0346,1.0996,1.1237,1.1241,1.1188,1.111,1.1025,1.0962,1.092,1.0885,1.0858,1.0834,1.0795,1.0673,1.028,0.9495,0.8519,0.7343,0.5697,0.3817,0.3817
16415802,0.4742,0.4742,0.6766,0.8477,0.9614,1.047,1.1049,1.1222,1.1188,1.1114,1.102,1.0923,1.0855,1.0811,1.0776,1.0755,1.0743,1.0721,1.0632,1.0297,0.9575,0.8644,0.7492,0.5849,0.3941,0.3941
19230373,0.4742,0.4742,0.6766,0.8477,0.9614,1.047,1.1049,1.1222,1.1188,1.1114,1.102,1.0923,1.0855,1.0811,1.0776,1.0755,1.0743,1.0721,1.0632,1.0297,0.9575,0.8644,0.7492,0.5849,0.3941,0.3941
19230733,0.4924,0.4924,0.6977,0.8683,0.9793,1.06,1.1105,1.1214,1.1143,1.1048,1.0937,1.0828,1.0754,1.0706,1.067,1.0651,1.0648,1.0641,1.0582,1.0303,0.9643,0.8752,0.7627,0.5989,0.4059,0.4059
22072371,0.4924,0.4924,0.6977,0.8683,0.9793,1.06,1.1105,1.1214,1.1143,1.1048,1.0937,1.0828,1.0754,1.0706,1.067,1.0651,1.0648,1.0641,1.0582,1.0303,0.9643,0.8752,0.7627,0.5989,0.4059,0.4059
22072731,0.5081,0.5081,0.715,0.8845,0.9922,1.0678,1.1121,1.1182,1.1087,1.0981,1.0864,1.0751,1.0675,1.0627,1.0593,1.0578,1.0582,1.0587,1.0551,1.0318,0.9714,0.8864,0.7759,0.6128,0.4177,0.4177
24936904,0.5081,0.5081,0.715,0.8845,0.9922,1.0678,1.1121,1.1182,1.1087,1.0981,1.0864,1.0751,1.0675,1.0627,1.0593,1.0578,1.0582,1.0587,1.0551,1.0318,0.9714,0.8864,0.7759,0.6128,0.4177,0.4177
24937264,0.5227,0.5227,0.7307,0.8986,1.0027,1.0735,1.112,1.1135,1.1018,1.0902,1.0781,1.0668,1.0596,1.0553,1.0523,1.0518,1.0534,1.0553,1.0544,1.0354,0.9801,0.8989,0.7908,0.6277,0.4303,0.4303
27816661,0.5227,0.5227,0.7307,0.8986,1.0027,1.0735,1.112,1.1135,1.1018,1.0902,1.0781,1.0668,1.0596,1.0553,1.0523,1.0518,1.0534,1.0553,1.0544,1.0354,0.9801,0.8989,0.7908,0.6277,0.4303,0.4303
27817021,0.5389,0.5389,0.7481,0.9143,1.0151,1.0813,1.1137,1.1104,1.0961,1.0833,1.0704,1.0587,1.0514,1.0472,1.0445,1.0445,1.0471,1.0502,1.0518,1.0375,0.9872,0.9099,0.8041,0.6416,0.4425,0.4425
30706657,0.5389,0.5389,0.7481,0.9143,1.0151,1.0813,1.1137,1.1104,1.0961,1.0833,1.0704,1.0587,1.0514,1.0472,1.0445,1.0445,1.0471,1.0502,1.0518,1.0375,0.9872,0.9099,0.8041,0.6416,0.4425,0.4425
30707017,0.5561,0.5561,0.7667,0.9312,1.0288,1.0901,1.1161,1.1077,1.0908,1.0768,1.0631,1.0511,1.0436,1.0393,1.0366,1.0369,1.04,1.0443,1.0482,1.0382,0.9932,0.9194,0.8163,0.6549,0.4543,0.4543
33604381,0.5561,0.5561,0.7667,0.9312,1.0288,1.0901,1.1161,1.1077,1.0908,1.0768,1.0631,1.0511,1.0436,1.0393,1.0366,1.0369,1.04,1.0443,1.0482,1.0382,0.9932,0.9194,0.8163,0.6549,0.4543,0.4543
