0,0
3600,1070.4
7200,2140.8
10800,3211.2
14400,4281.61
18000,5352.01
21600,6422.41
25200,7492.81
28800,8563.21
32400,9633.61
36000,10704.02
39600,11774.42
43200,12844.82
46800,13915.22
50400,14985.62
54000,16056.02
57600,17126.43
61200,18196.83
64800,19267.23
68400,20337.63
72000,21408.03
75600,22478.43
79200,23548.83
82800,24619.24
86400,25689.64
1417786,25133.85
2754647,25030.93
5439408,24928.01
8144271,24742.74
10871826,24536.9
13629456,24269.3
16415442,24022.28
19230373,23775.27
22072371,23548.83
24936904,23363.57
27816661,23240.06
30706657,23157.73
33604381,23095.97
36566112,23116.56
36566472,22921.92
37217269,22403.8
37874142,22196.55
39196531,22051.47
41861346,21885.67
44551637,21678.42
47270521,21450.44
50018611,21222.47
52796543,20994.49
55599376,20807.97
58427562,20621.44
61278671,20455.64
64150145,20310.56
67039308,20186.21
69940385,20103.31
72847456,20061.86
73815510,20061.86
73815870,18950.6
74512357,18930.03
75208844,18930.03
76601818,18930.03
79387767,18930.03
82176746,18909.45
84968764,18888.87
87763826,18868.3
90555844,18888.87
93344824,18909.45
96130772,18930.03
98910677,18971.18
101684565,19012.33
104452461,19053.48
107214393,19094.64
109970384,19135.79
110596668,19115.21
110597028,15455.52
111326530,15517.01
112051245,15619.5
113487481,15762.99
116330378,15926.97
119151491,16049.96
121958265,16131.95
124754381,16193.44
127536410,16275.44
130307968,16336.93
133069132,16398.43
135819981,16459.92
138560590,16521.41
141291037,16582.91
144011395,16644.4
146526972,16685.4
146527332,14557.8
147256920,14456
147982421,14537.44
149419335,14679.97
152261627,14842.85
155092269,14903.93
157911358,14965.01
160722797,15005.74
163519059,15087.18
166304046,15148.26
169077849,15209.34
171833208,15311.14
174573989,15392.59
177296762,15494.39
177922434,15575.83
177922794,0
